year,actress,movie,age,birth_place,birth_date
1972,Jane Fonda,Klute,34,New York,1937-12-21
1973,Liza Minnelli,Cabaret,26,California,1946-03-12
1974,Glenda Jackson,A Touch of Class,37,England,1936-05-09
1975,Ellen Burstyn,Alice Doesn't Live Here Anymore,42,Michigan,1932-12-07
1976,Louise Fletcher,One Flew Over the Cockoo's Nest,41,Alabama,1934-07-22
1977,Faye Dunaway,Network,35,Florida,1941-01-14
1978,Diane Keaton,Annie Hall,31,California,1946-01-05
1979,Jane Fonda,Coming Home,41,New York,1937-12-21
1980,Sally Field,Norma Rae,33,California,1946-11-06
1981,Sissy Spacek,Coal Miner's Daughter,31,Texas,1949-12-25
1982,Katharine Hepburn,On Golden Pond,74,Connecticut,1907-05-12
1983,Meryl Streep,Sophies Choice,33,New Jersey,1949-06-22
1984,Shirley MacLaine,Terms of Endearment,49,Virginia,1934-04-24
1985,Sally Field,Places in the Heart,38,California,1946-11-06
1986,Geraldine Page,Trip to Bountiful,61,Missouri,1924-11-22
1987,Marlee Matlin,Children of a Lesser God,21,Illinois,1965-08-24
1988,Cher,Moonstruck,41,California,1946-05-20
1989,Jodie Foster,The Accused,26,California,1962-11-19
1990,Jessica Tandy,Driving Miss Daisy,80,England,1909-06-07
1991,Kathy Bates,Misery,42,Tennessee,1948-06-28
1992,Jodie Foster,The Silence of the Lambs,29,California,1962-11-19
1993,Emma Thompson,Howards End,33,England,1959-04-15
1994,Holly Hunter,The Piano,35,Georgia,1958-03-20
1995,Jessica Lange,Blue Sky,45,Minnesota,1949-04-20
1996,Susan Sarandon,Dead Man Walking,49,New York,1946-10-04
1997,Frances McDormand,Fargo,39,Illinois,1957-06-23
1998,Helen Hunt,As Good As It Gets,34,California,1963-06-15
1999,Gwyneth Paltrow,Shakespeare in Love,26,California,1972-09-28
2000,Hilary Swank,Boys Don't Cry,25,Washington,1974-07-30
2001,Julia Roberts,Erin Brockovich,33,Georgia,1967-10-28
2002,Halle Berry,Monster's Ball,35,Ohio,1966-08-14
2003,Nicole Kidman,The Hours,35,Australia,1967-06-20
2004,Charlize Theron,Monster,28,South Africa,1975-08-07
2005,Hilary Swank,Million Dollar Baby,30,Washington,1974-07-30
2006,Reese Witherspoon,Walk the Line,29,Louisiana,1976-03-22
2007,Helen Mirren,The Queen,61,England,1945-07-26
2008,Marion Cotillard,La Vie en Rose,32,France,1975-09-30
2009,Kate Winslet,The Reader,33,England,1975-10-05
2010,Sandra Bullock,The Blind Side,45,Virginia,1964-07-26
2011,Natalie Portman,Black Swan,29,Israel,1981-09-06
2012,Meryl Streep,The Iron Lady,62,New Jersey,1949-06-22
2013,Jennifer Lawrence,Silver Linings Playbook,22,Kentucky,1990-08-15
2014,Cate Blanchett,Blue Jasmine,44,Australia,1969-05-14
2015,Julianne Moore,Still Alice,54,North Carolina,1960-12-03
2016,Brie Larson,Room,26,California,1989-10-01
2017,Emma Stone,La La Land,28,Arizona,1988-11-06
2018,Frances McDormand,Three Billboards Outside of Ebbing Missouri,60,Illinois,1957-06-23
2019,Olivia Colman,The Favourite,44,England,1974-01-30
