"year","actor","movie","age","birth_place","birth_date"
"2006","Philip Hoffman","Capote",38,"New York","1967-07-23"
"2007","Forest Whitaker","The Last King of Scotland",45,"California","1961-07-15"
"2008","Daniel Day-Lewis","There Will Be Blood",50,"England","1957-04-29"
"2009","Sean Penn","Milk",48,"California","1960-08-17"
"2010","Jeff Bridges","Crazy Heart",60,"California","1949-12-04"
"2011","Colin Firth","The King's Speech",50,"England","1960-10-09"
"2012","Jean Dujardin","The Artist",39,"France","1972-07-19"
"2013","Daniel Day-Lewis","Lincoln",55,"England","1957-04-29"
"2014","Matthew McConaughey","Dallas Buyers Club",44,"Texas","1969-11-04"
"2015","Eddie Redmayne","The Theory of Everything",32,"England","1982-01-06"
"2016","Leonardo Di Caprio","The Revenant",41,"California","1974-11-11"
"2017","Casey Affleck","Manchester by the Sa",41,"Massachusetts","1975-08-12"
"2018","Gary Oldman","Darkest Hour",59,"England","1958-03-21"
"2019","Rami Malek","Bohemian Rhapsody",37,"California","1981-05-12"
