oscar_no,oscar_yr,award,name,movie,age,birth_pl,birth_date,birth_mo,birth_d,birth_y,index,Gender,Race,Director(s),Film,Nomination/Winner
2,1930,Best actress,Mary Pickford,Coquette,37,Canada,1892-04-08,4,8,1892,17,Male,White,King Vidor,Hallelujah!,Nomination
2,1930,Best actor,Warner Baxter,In Old Arizona,40,Ohio,1889-03-29,3,29,1889,12,Male,White,Lewis Milestone,All Quiet on the Western Front,Winner
2,1930,Best actor,Warner Baxter,In Old Arizona,40,Ohio,1889-03-29,3,29,1889,13,Male,White,Clarence Brown,Anna Christie,Nomination
2,1930,Best actor,Warner Baxter,In Old Arizona,40,Ohio,1889-03-29,3,29,1889,14,Male,White,Clarence Brown,Romance,Nomination
2,1930,Best actor,Warner Baxter,In Old Arizona,40,Ohio,1889-03-29,3,29,1889,15,Male,White,Robert Z. Leonard,The Divorcee,Nomination
2,1930,Best actor,Warner Baxter,In Old Arizona,40,Ohio,1889-03-29,3,29,1889,16,Male,White,Ernst Lubitsch,The Love Parade,Nomination
2,1930,Best actor,Warner Baxter,In Old Arizona,40,Ohio,1889-03-29,3,29,1889,17,Male,White,King Vidor,Hallelujah!,Nomination
3,1931,Best actress,Norma Shearer,The Divorcee,28,Canada,1902-08-10,8,10,1902,18,Male,White,Norman Taurog,Skippy,Winner
3,1931,Best actress,Norma Shearer,The Divorcee,28,Canada,1902-08-10,8,10,1902,19,Male,White,Clarence Brown,A Free Soul,Nomination
3,1931,Best actress,Norma Shearer,The Divorcee,28,Canada,1902-08-10,8,10,1902,20,Male,White,Lewis Milestone,The Front Page,Nomination
3,1931,Best actress,Norma Shearer,The Divorcee,28,Canada,1902-08-10,8,10,1902,21,Male,White,Wesley Ruggles,Cimarron,Nomination
3,1931,Best actress,Norma Shearer,The Divorcee,28,Canada,1902-08-10,8,10,1902,22,Male,White,Josef von Sternberg,Morocco,Nomination
3,1931,Best actor,George Arliss,Disraeli,62,England,1868-04-10,4,10,1868,18,Male,White,Norman Taurog,Skippy,Winner
3,1931,Best actor,George Arliss,Disraeli,62,England,1868-04-10,4,10,1868,19,Male,White,Clarence Brown,A Free Soul,Nomination
3,1931,Best actor,George Arliss,Disraeli,62,England,1868-04-10,4,10,1868,20,Male,White,Lewis Milestone,The Front Page,Nomination
3,1931,Best actor,George Arliss,Disraeli,62,England,1868-04-10,4,10,1868,21,Male,White,Wesley Ruggles,Cimarron,Nomination
3,1931,Best actor,George Arliss,Disraeli,62,England,1868-04-10,4,10,1868,22,Male,White,Josef von Sternberg,Morocco,Nomination
4,1932,Best actress,Marie Dressler,Min and Bill,63,Canada,1868-11-09,11,9,1868,23,Male,White,Frank Borzage,Bad Girl,Winner
4,1932,Best actress,Marie Dressler,Min and Bill,63,Canada,1868-11-09,11,9,1868,24,Male,White,King Vidor,The Champ,Nomination
4,1932,Best actress,Marie Dressler,Min and Bill,63,Canada,1868-11-09,11,9,1868,25,Male,White,Josef von Sternberg,Shanghai Express,Nomination
4,1932,Best actor,Lionel Barrymore,A Free Soul,53,Pennsylvania,1878-04-28,4,28,1878,23,Male,White,Frank Borzage,Bad Girl,Winner
4,1932,Best actor,Lionel Barrymore,A Free Soul,53,Pennsylvania,1878-04-28,4,28,1878,24,Male,White,King Vidor,The Champ,Nomination
4,1932,Best actor,Lionel Barrymore,A Free Soul,53,Pennsylvania,1878-04-28,4,28,1878,25,Male,White,Josef von Sternberg,Shanghai Express,Nomination
5,1933,Best actress,Helen Hayes,The Sin of Madelon Claudet,32,Washington DC,1900-10-10,10,10,1900,26,Male,White,Frank Lloyd,Cavalcade,Winner
5,1933,Best actress,Helen Hayes,The Sin of Madelon Claudet,32,Washington DC,1900-10-10,10,10,1900,27,Male,White,Frank Capra,Lady for a Day,Nomination
5,1933,Best actress,Helen Hayes,The Sin of Madelon Claudet,32,Washington DC,1900-10-10,10,10,1900,28,Male,White,George Cukor,Little Women,Nomination
5,1933,Best actor,Fredric March,Dr. Jekyll and Mr. Hyde,35,Wisconsin,1897-08-31,8,31,1897,26,Male,White,Frank Lloyd,Cavalcade,Winner
5,1933,Best actor,Fredric March,Dr. Jekyll and Mr. Hyde,35,Wisconsin,1897-08-31,8,31,1897,27,Male,White,Frank Capra,Lady for a Day,Nomination
5,1933,Best actor,Fredric March,Dr. Jekyll and Mr. Hyde,35,Wisconsin,1897-08-31,8,31,1897,28,Male,White,George Cukor,Little Women,Nomination
5,1933,Best actor,Wallace Beery,The Champ,47,Missouri,1885-04-01,4,1,1885,26,Male,White,Frank Lloyd,Cavalcade,Winner
5,1933,Best actor,Wallace Beery,The Champ,47,Missouri,1885-04-01,4,1,1885,27,Male,White,Frank Capra,Lady for a Day,Nomination
5,1933,Best actor,Wallace Beery,The Champ,47,Missouri,1885-04-01,4,1,1885,28,Male,White,George Cukor,Little Women,Nomination
6,1934,Best actress,Katharine Hepburn,Morning Glory,26,Connecticut,1907-05-12,5,12,1907,29,Male,White,Frank Capra,It Happened One Night,Winner
6,1934,Best actress,Katharine Hepburn,Morning Glory,26,Connecticut,1907-05-12,5,12,1907,30,Male,White,Victor Schertzinger,One Night of Love,Nomination
6,1934,Best actress,Katharine Hepburn,Morning Glory,26,Connecticut,1907-05-12,5,12,1907,31,Male,White,W. S. Van Dyke,The Thin Man,Nomination
6,1934,Best actor,Charles Laughton,The Private Life of Henry VIII,34,England,1899-07-01,7,1,1899,29,Male,White,Frank Capra,It Happened One Night,Winner
6,1934,Best actor,Charles Laughton,The Private Life of Henry VIII,34,England,1899-07-01,7,1,1899,30,Male,White,Victor Schertzinger,One Night of Love,Nomination
6,1934,Best actor,Charles Laughton,The Private Life of Henry VIII,34,England,1899-07-01,7,1,1899,31,Male,White,W. S. Van Dyke,The Thin Man,Nomination
7,1935,Best actress,Claudette Colbert,It Happened One Night,31,France,1903-09-13,9,13,1903,32,Male,White,John Ford,The Informer,Winner
7,1935,Best actress,Claudette Colbert,It Happened One Night,31,France,1903-09-13,9,13,1903,33,Male,White,Henry Hathaway,The Lives of a Bengal Lancer,Nomination
7,1935,Best actress,Claudette Colbert,It Happened One Night,31,France,1903-09-13,9,13,1903,34,Male,White,Frank Lloyd,Mutiny on the Bounty,Nomination
7,1935,Best actor,Clark Gable,It Happened One Night,33,Ohio,1901-02-01,2,1,1901,32,Male,White,John Ford,The Informer,Winner
7,1935,Best actor,Clark Gable,It Happened One Night,33,Ohio,1901-02-01,2,1,1901,33,Male,White,Henry Hathaway,The Lives of a Bengal Lancer,Nomination
7,1935,Best actor,Clark Gable,It Happened One Night,33,Ohio,1901-02-01,2,1,1901,34,Male,White,Frank Lloyd,Mutiny on the Bounty,Nomination
8,1936,Best actress,Bette Davis,Dangerous,27,Massachusetts,1908-04-05,4,5,1908,35,Male,White,Frank Capra,Mr. Deeds Goes to Town,Winner
8,1936,Best actress,Bette Davis,Dangerous,27,Massachusetts,1908-04-05,4,5,1908,36,Male,White,Gregory La Cava,My Man Godfrey,Nomination
8,1936,Best actress,Bette Davis,Dangerous,27,Massachusetts,1908-04-05,4,5,1908,37,Male,White,Robert Z. Leonard,The Great Ziegfeld,Nomination
8,1936,Best actress,Bette Davis,Dangerous,27,Massachusetts,1908-04-05,4,5,1908,38,Male,White,W. S. Van Dyke,San Francisco,Nomination
8,1936,Best actress,Bette Davis,Dangerous,27,Massachusetts,1908-04-05,4,5,1908,39,Male,White,William Wyler,Dodsworth,Nomination
8,1936,Best actor,Victor McLaglen,The Informer,52,England,1883-12-11,12,11,1883,35,Male,White,Frank Capra,Mr. Deeds Goes to Town,Winner
8,1936,Best actor,Victor McLaglen,The Informer,52,England,1883-12-11,12,11,1883,36,Male,White,Gregory La Cava,My Man Godfrey,Nomination
8,1936,Best actor,Victor McLaglen,The Informer,52,England,1883-12-11,12,11,1883,37,Male,White,Robert Z. Leonard,The Great Ziegfeld,Nomination
8,1936,Best actor,Victor McLaglen,The Informer,52,England,1883-12-11,12,11,1883,38,Male,White,W. S. Van Dyke,San Francisco,Nomination
8,1936,Best actor,Victor McLaglen,The Informer,52,England,1883-12-11,12,11,1883,39,Male,White,William Wyler,Dodsworth,Nomination
9,1937,Best actress,Luise Rainer,The Great Zeigfeld,26,Germany,1910-01-12,1,12,1910,40,Male,White,Leo McCarey,The Awful Truth,Winner
9,1937,Best actress,Luise Rainer,The Great Zeigfeld,26,Germany,1910-01-12,1,12,1910,41,Male,White,William Dieterle,The Life of Emile Zola,Nomination
9,1937,Best actress,Luise Rainer,The Great Zeigfeld,26,Germany,1910-01-12,1,12,1910,42,Male,White,Sidney Franklin,The Good Earth,Nomination
9,1937,Best actress,Luise Rainer,The Great Zeigfeld,26,Germany,1910-01-12,1,12,1910,43,Male,White,Gregory La Cava,Stage Door,Nomination
9,1937,Best actress,Luise Rainer,The Great Zeigfeld,26,Germany,1910-01-12,1,12,1910,44,Male,White,William A. Wellman,A Star Is Born,Nomination
9,1937,Best actor,Paul Muni,The Story of Louis Pasteur,41,Poland,1895-09-22,9,22,1895,40,Male,White,Leo McCarey,The Awful Truth,Winner
9,1937,Best actor,Paul Muni,The Story of Louis Pasteur,41,Poland,1895-09-22,9,22,1895,41,Male,White,William Dieterle,The Life of Emile Zola,Nomination
9,1937,Best actor,Paul Muni,The Story of Louis Pasteur,41,Poland,1895-09-22,9,22,1895,42,Male,White,Sidney Franklin,The Good Earth,Nomination
9,1937,Best actor,Paul Muni,The Story of Louis Pasteur,41,Poland,1895-09-22,9,22,1895,43,Male,White,Gregory La Cava,Stage Door,Nomination
9,1937,Best actor,Paul Muni,The Story of Louis Pasteur,41,Poland,1895-09-22,9,22,1895,44,Male,White,William A. Wellman,A Star Is Born,Nomination
10,1938,Best actress,Luise Rainer,The Good Earth,27,Germany,1910-01-12,1,12,1910,45,Male,White,Frank Capra,You Can't Take It with You,Winner
10,1938,Best actress,Luise Rainer,The Good Earth,27,Germany,1910-01-12,1,12,1910,46,Male,White,Michael Curtiz,Angels with Dirty Faces,Nomination
10,1938,Best actress,Luise Rainer,The Good Earth,27,Germany,1910-01-12,1,12,1910,47,Male,White,Michael Curtiz,Four Daughters,Nomination
10,1938,Best actress,Luise Rainer,The Good Earth,27,Germany,1910-01-12,1,12,1910,48,Male,White,Norman Taurog,Boys Town,Nomination
10,1938,Best actress,Luise Rainer,The Good Earth,27,Germany,1910-01-12,1,12,1910,49,Male,White,King Vidor,The Citadel,Nomination
10,1938,Best actor,Spencer Tracy,Captains Courageous,37,Wisconsin,1900-04-05,4,5,1900,45,Male,White,Frank Capra,You Can't Take It with You,Winner
10,1938,Best actor,Spencer Tracy,Captains Courageous,37,Wisconsin,1900-04-05,4,5,1900,46,Male,White,Michael Curtiz,Angels with Dirty Faces,Nomination
10,1938,Best actor,Spencer Tracy,Captains Courageous,37,Wisconsin,1900-04-05,4,5,1900,47,Male,White,Michael Curtiz,Four Daughters,Nomination
10,1938,Best actor,Spencer Tracy,Captains Courageous,37,Wisconsin,1900-04-05,4,5,1900,48,Male,White,Norman Taurog,Boys Town,Nomination
10,1938,Best actor,Spencer Tracy,Captains Courageous,37,Wisconsin,1900-04-05,4,5,1900,49,Male,White,King Vidor,The Citadel,Nomination
11,1939,Best actress,Bette Davis,Jezebel,30,Massachusetts,1908-04-05,4,5,1908,50,Male,White,Victor Fleming,Gone with the Wind,Winner
11,1939,Best actress,Bette Davis,Jezebel,30,Massachusetts,1908-04-05,4,5,1908,51,Male,White,Frank Capra,Mr. Smith Goes to Washington,Nomination
11,1939,Best actress,Bette Davis,Jezebel,30,Massachusetts,1908-04-05,4,5,1908,52,Male,White,John Ford,Stagecoach,Nomination
11,1939,Best actress,Bette Davis,Jezebel,30,Massachusetts,1908-04-05,4,5,1908,53,Male,White,Sam Wood,"Goodbye, Mr. Chips",Nomination
11,1939,Best actress,Bette Davis,Jezebel,30,Massachusetts,1908-04-05,4,5,1908,54,Male,White,William Wyler,Wuthering Heights,Nomination
11,1939,Best actor,Spencer Tracy,Boys Town,38,Wisconsin,1900-04-05,4,5,1900,50,Male,White,Victor Fleming,Gone with the Wind,Winner
11,1939,Best actor,Spencer Tracy,Boys Town,38,Wisconsin,1900-04-05,4,5,1900,51,Male,White,Frank Capra,Mr. Smith Goes to Washington,Nomination
11,1939,Best actor,Spencer Tracy,Boys Town,38,Wisconsin,1900-04-05,4,5,1900,52,Male,White,John Ford,Stagecoach,Nomination
11,1939,Best actor,Spencer Tracy,Boys Town,38,Wisconsin,1900-04-05,4,5,1900,53,Male,White,Sam Wood,"Goodbye, Mr. Chips",Nomination
11,1939,Best actor,Spencer Tracy,Boys Town,38,Wisconsin,1900-04-05,4,5,1900,54,Male,White,William Wyler,Wuthering Heights,Nomination
12,1940,Best actress,Vivien Leigh,Gone With the Wind,26,India,1913-11-05,11,5,1913,55,Male,White,John Ford,The Grapes of Wrath,Winner
12,1940,Best actress,Vivien Leigh,Gone With the Wind,26,India,1913-11-05,11,5,1913,56,Male,White,George Cukor,The Philadelphia Story,Nomination
12,1940,Best actress,Vivien Leigh,Gone With the Wind,26,India,1913-11-05,11,5,1913,57,Male,White,Alfred Hitchcock,Rebecca,Nomination
12,1940,Best actress,Vivien Leigh,Gone With the Wind,26,India,1913-11-05,11,5,1913,58,Male,White,Sam Wood,Kitty Foyle,Nomination
12,1940,Best actress,Vivien Leigh,Gone With the Wind,26,India,1913-11-05,11,5,1913,59,Male,White,William Wyler,The Letter,Nomination
12,1940,Best actor,Robert Donat,"Goodbye, Mr. Chips",34,England,1905-03-18,3,18,1905,55,Male,White,John Ford,The Grapes of Wrath,Winner
12,1940,Best actor,Robert Donat,"Goodbye, Mr. Chips",34,England,1905-03-18,3,18,1905,56,Male,White,George Cukor,The Philadelphia Story,Nomination
12,1940,Best actor,Robert Donat,"Goodbye, Mr. Chips",34,England,1905-03-18,3,18,1905,57,Male,White,Alfred Hitchcock,Rebecca,Nomination
12,1940,Best actor,Robert Donat,"Goodbye, Mr. Chips",34,England,1905-03-18,3,18,1905,58,Male,White,Sam Wood,Kitty Foyle,Nomination
12,1940,Best actor,Robert Donat,"Goodbye, Mr. Chips",34,England,1905-03-18,3,18,1905,59,Male,White,William Wyler,The Letter,Nomination
13,1941,Best actress,Ginger Rogers,Kitty Foyle,29,Missouri,1911-07-16,7,16,1911,60,Male,White,John Ford,How Green Was My Valley,Winner
13,1941,Best actress,Ginger Rogers,Kitty Foyle,29,Missouri,1911-07-16,7,16,1911,61,Male,White,Alexander Hall,Here Comes Mr. Jordan,Nomination
13,1941,Best actress,Ginger Rogers,Kitty Foyle,29,Missouri,1911-07-16,7,16,1911,62,Male,White,Howard Hawks,Sergeant York,Nomination
13,1941,Best actress,Ginger Rogers,Kitty Foyle,29,Missouri,1911-07-16,7,16,1911,63,Male,White,Orson Welles,Citizen Kane,Nomination
13,1941,Best actress,Ginger Rogers,Kitty Foyle,29,Missouri,1911-07-16,7,16,1911,64,Male,White,William Wyler,The Little Foxes,Nomination
13,1941,Best actor,James Stewart,The Philadelphia Story,32,Pennsylvania,1908-05-20,5,20,1908,60,Male,White,John Ford,How Green Was My Valley,Winner
13,1941,Best actor,James Stewart,The Philadelphia Story,32,Pennsylvania,1908-05-20,5,20,1908,61,Male,White,Alexander Hall,Here Comes Mr. Jordan,Nomination
13,1941,Best actor,James Stewart,The Philadelphia Story,32,Pennsylvania,1908-05-20,5,20,1908,62,Male,White,Howard Hawks,Sergeant York,Nomination
13,1941,Best actor,James Stewart,The Philadelphia Story,32,Pennsylvania,1908-05-20,5,20,1908,63,Male,White,Orson Welles,Citizen Kane,Nomination
13,1941,Best actor,James Stewart,The Philadelphia Story,32,Pennsylvania,1908-05-20,5,20,1908,64,Male,White,William Wyler,The Little Foxes,Nomination
14,1942,Best actress,Joan Fontaine,Suspicion,24,Japan,1917-10-22,10,22,1917,65,Male,White,William Wyler,Mrs. Miniver,Winner
14,1942,Best actress,Joan Fontaine,Suspicion,24,Japan,1917-10-22,10,22,1917,66,Male,White,Michael Curtiz,Yankee Doodle Dandy,Nomination
14,1942,Best actress,Joan Fontaine,Suspicion,24,Japan,1917-10-22,10,22,1917,67,Male,White,John Farrow,Wake Island,Nomination
14,1942,Best actress,Joan Fontaine,Suspicion,24,Japan,1917-10-22,10,22,1917,68,Male,White,Mervyn LeRoy,Random Harvest,Nomination
14,1942,Best actress,Joan Fontaine,Suspicion,24,Japan,1917-10-22,10,22,1917,69,Male,White,Sam Wood,Kings Row,Nomination
14,1942,Best actor,Gary Cooper,Sergeant York,40,Montana,1901-05-07,5,7,1901,65,Male,White,William Wyler,Mrs. Miniver,Winner
14,1942,Best actor,Gary Cooper,Sergeant York,40,Montana,1901-05-07,5,7,1901,66,Male,White,Michael Curtiz,Yankee Doodle Dandy,Nomination
14,1942,Best actor,Gary Cooper,Sergeant York,40,Montana,1901-05-07,5,7,1901,67,Male,White,John Farrow,Wake Island,Nomination
14,1942,Best actor,Gary Cooper,Sergeant York,40,Montana,1901-05-07,5,7,1901,68,Male,White,Mervyn LeRoy,Random Harvest,Nomination
14,1942,Best actor,Gary Cooper,Sergeant York,40,Montana,1901-05-07,5,7,1901,69,Male,White,Sam Wood,Kings Row,Nomination
15,1943,Best actress,Greer Garson,Mrs. Miniver,38,England,1904-09-29,9,29,1904,70,Male,White,Michael Curtiz,Casablanca,Winner
15,1943,Best actress,Greer Garson,Mrs. Miniver,38,England,1904-09-29,9,29,1904,71,Male,White,Clarence Brown,The Human Comedy,Nomination
15,1943,Best actress,Greer Garson,Mrs. Miniver,38,England,1904-09-29,9,29,1904,72,Male,White,Henry King,The Song of Bernadette,Nomination
15,1943,Best actress,Greer Garson,Mrs. Miniver,38,England,1904-09-29,9,29,1904,73,Male,White,Ernst Lubitsch,Heaven Can Wait,Nomination
15,1943,Best actress,Greer Garson,Mrs. Miniver,38,England,1904-09-29,9,29,1904,74,Male,White,George Stevens,The More the Merrier,Nomination
15,1943,Best actor,James Cagney,Yankee Doodle Dandy,43,New York,1899-07-17,7,17,1899,70,Male,White,Michael Curtiz,Casablanca,Winner
15,1943,Best actor,James Cagney,Yankee Doodle Dandy,43,New York,1899-07-17,7,17,1899,71,Male,White,Clarence Brown,The Human Comedy,Nomination
15,1943,Best actor,James Cagney,Yankee Doodle Dandy,43,New York,1899-07-17,7,17,1899,72,Male,White,Henry King,The Song of Bernadette,Nomination
15,1943,Best actor,James Cagney,Yankee Doodle Dandy,43,New York,1899-07-17,7,17,1899,73,Male,White,Ernst Lubitsch,Heaven Can Wait,Nomination
15,1943,Best actor,James Cagney,Yankee Doodle Dandy,43,New York,1899-07-17,7,17,1899,74,Male,White,George Stevens,The More the Merrier,Nomination
16,1944,Best actress,Jennifer Jones,The Song of Bernadette,24,Oklahoma,1919-03-02,3,2,1919,75,Male,White,Leo McCarey,Going My Way,Winner
16,1944,Best actress,Jennifer Jones,The Song of Bernadette,24,Oklahoma,1919-03-02,3,2,1919,76,Male,White,Alfred Hitchcock,Lifeboat,Nomination
16,1944,Best actress,Jennifer Jones,The Song of Bernadette,24,Oklahoma,1919-03-02,3,2,1919,77,Male,White,Henry King,Wilson,Nomination
16,1944,Best actress,Jennifer Jones,The Song of Bernadette,24,Oklahoma,1919-03-02,3,2,1919,78,Male,White,Otto Preminger,Laura,Nomination
16,1944,Best actress,Jennifer Jones,The Song of Bernadette,24,Oklahoma,1919-03-02,3,2,1919,79,Male,White,Billy Wilder,Double Indemnity,Nomination
16,1944,Best actor,Paul Lukas,Watch on the Rhine,48,Hungary,1895-05-26,5,26,1895,75,Male,White,Leo McCarey,Going My Way,Winner
16,1944,Best actor,Paul Lukas,Watch on the Rhine,48,Hungary,1895-05-26,5,26,1895,76,Male,White,Alfred Hitchcock,Lifeboat,Nomination
16,1944,Best actor,Paul Lukas,Watch on the Rhine,48,Hungary,1895-05-26,5,26,1895,77,Male,White,Henry King,Wilson,Nomination
16,1944,Best actor,Paul Lukas,Watch on the Rhine,48,Hungary,1895-05-26,5,26,1895,78,Male,White,Otto Preminger,Laura,Nomination
16,1944,Best actor,Paul Lukas,Watch on the Rhine,48,Hungary,1895-05-26,5,26,1895,79,Male,White,Billy Wilder,Double Indemnity,Nomination
17,1945,Best actress,Ingrid Bergman,Gaslight,29,Sweden,1915-08-29,8,29,1915,80,Male,White,Billy Wilder,The Lost Weekend,Winner
17,1945,Best actress,Ingrid Bergman,Gaslight,29,Sweden,1915-08-29,8,29,1915,81,Male,White,Clarence Brown,National Velvet,Nomination
17,1945,Best actress,Ingrid Bergman,Gaslight,29,Sweden,1915-08-29,8,29,1915,82,Male,White,Alfred Hitchcock,Spellbound,Nomination
17,1945,Best actress,Ingrid Bergman,Gaslight,29,Sweden,1915-08-29,8,29,1915,83,Male,White,Leo McCarey,The Bells of St. Mary's,Nomination
17,1945,Best actress,Ingrid Bergman,Gaslight,29,Sweden,1915-08-29,8,29,1915,84,Male,White,Jean Renoir,The Southerner,Nomination
17,1945,Best actor,Bing Crosby,Going My Way,41,Washington,1903-05-03,5,3,1903,80,Male,White,Billy Wilder,The Lost Weekend,Winner
17,1945,Best actor,Bing Crosby,Going My Way,41,Washington,1903-05-03,5,3,1903,81,Male,White,Clarence Brown,National Velvet,Nomination
17,1945,Best actor,Bing Crosby,Going My Way,41,Washington,1903-05-03,5,3,1903,82,Male,White,Alfred Hitchcock,Spellbound,Nomination
17,1945,Best actor,Bing Crosby,Going My Way,41,Washington,1903-05-03,5,3,1903,83,Male,White,Leo McCarey,The Bells of St. Mary's,Nomination
17,1945,Best actor,Bing Crosby,Going My Way,41,Washington,1903-05-03,5,3,1903,84,Male,White,Jean Renoir,The Southerner,Nomination
18,1946,Best actress,Joan Crawford,Mildred Pierce,33,Texas,1912-03-23,3,23,1912,85,Male,White,William Wyler,The Best Years of Our Lives,Winner
18,1946,Best actress,Joan Crawford,Mildred Pierce,33,Texas,1912-03-23,3,23,1912,86,Male,White,Clarence Brown,The Yearling,Nomination
18,1946,Best actress,Joan Crawford,Mildred Pierce,33,Texas,1912-03-23,3,23,1912,87,Male,White,Frank Capra,It's a Wonderful Life,Nomination
18,1946,Best actress,Joan Crawford,Mildred Pierce,33,Texas,1912-03-23,3,23,1912,88,Male,White,David Lean,Brief Encounter,Nomination
18,1946,Best actress,Joan Crawford,Mildred Pierce,33,Texas,1912-03-23,3,23,1912,89,Male,White,Robert Siodmak,The Killers,Nomination
18,1946,Best actor,Ray Milland,The Lost Weekend,40,Wales,1905-01-03,1,3,1905,85,Male,White,William Wyler,The Best Years of Our Lives,Winner
18,1946,Best actor,Ray Milland,The Lost Weekend,40,Wales,1905-01-03,1,3,1905,86,Male,White,Clarence Brown,The Yearling,Nomination
18,1946,Best actor,Ray Milland,The Lost Weekend,40,Wales,1905-01-03,1,3,1905,87,Male,White,Frank Capra,It's a Wonderful Life,Nomination
18,1946,Best actor,Ray Milland,The Lost Weekend,40,Wales,1905-01-03,1,3,1905,88,Male,White,David Lean,Brief Encounter,Nomination
18,1946,Best actor,Ray Milland,The Lost Weekend,40,Wales,1905-01-03,1,3,1905,89,Male,White,Robert Siodmak,The Killers,Nomination
19,1947,Best actress,Olivia de Havilland,To Each His Own,30,Japan,1916-07-01,7,1,1916,90,Male,White,Elia Kazan,Gentleman's Agreement,Winner
19,1947,Best actress,Olivia de Havilland,To Each His Own,30,Japan,1916-07-01,7,1,1916,91,Male,White,George Cukor,A Double Life,Nomination
19,1947,Best actress,Olivia de Havilland,To Each His Own,30,Japan,1916-07-01,7,1,1916,92,Male,White,Edward Dmytryk,Crossfire,Nomination
19,1947,Best actress,Olivia de Havilland,To Each His Own,30,Japan,1916-07-01,7,1,1916,93,Male,White,Henry Koster,The Bishop's Wife,Nomination
19,1947,Best actress,Olivia de Havilland,To Each His Own,30,Japan,1916-07-01,7,1,1916,94,Male,White,David Lean,Great Expectations,Nomination
19,1947,Best actor,Fredric March,The Best Years of Our Lives,49,Wisconsin,1897-08-31,8,31,1897,90,Male,White,Elia Kazan,Gentleman's Agreement,Winner
19,1947,Best actor,Fredric March,The Best Years of Our Lives,49,Wisconsin,1897-08-31,8,31,1897,91,Male,White,George Cukor,A Double Life,Nomination
19,1947,Best actor,Fredric March,The Best Years of Our Lives,49,Wisconsin,1897-08-31,8,31,1897,92,Male,White,Edward Dmytryk,Crossfire,Nomination
19,1947,Best actor,Fredric March,The Best Years of Our Lives,49,Wisconsin,1897-08-31,8,31,1897,93,Male,White,Henry Koster,The Bishop's Wife,Nomination
19,1947,Best actor,Fredric March,The Best Years of Our Lives,49,Wisconsin,1897-08-31,8,31,1897,94,Male,White,David Lean,Great Expectations,Nomination
